Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel
22.09.2017,Corso 3,3,N2,17:15,17:30,18:32,18:32,19:45,19:51,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:28,20:30,2D,KINGSMAN: THE GOLDEN CIRCLE
22.09.2017,Corso 1,1,N2,17:30,17:44,18:32,18:32,19:33,19:37,2D,BABY DRIVER,16,00:27,20:15,2D,THE CIRCLE
22.09.2017,Corso 6,6,N2,17:30,17:46,18:39,18:39,19:30,19:36,2D,ANNABELLE 2,16,00:58,20:45,2D,ANNABELLE 2
22.09.2017,Corso 4,4,N2,17:45,18:01,18:43,18:43,19:34,19:41,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,00:53,20:45,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
22.09.2017,Corso 7,7,N2,17:45,18:00,18:49,18:49,19:28,19:33,2D,HEREINSPAZIERT!,6,00:46,20:30,2D,LOGAN LUCKY
22.09.2017,Corso 2,2,HV,20:00,20:22,21:03,21:03,22:08,22:17,2D,BARRY SEAL: ONLY IN AMERICA,12,00:32,23:00,2D,KINGSMAN: THE GOLDEN CIRCLE
22.09.2017,Corso 5,5,HV,20:00,20:18,20:50,20:50,21:51,22:00,3D,"THE LEGO NINJAGO MOVIE ",6,00:49,23:00,3D,"THE LEGO NINJAGO MOVIE "
22.09.2017,Corso 8,8,HV,20:15,20:32,21:09,21:09,22:23,22:31,2D,KILLER'S BODYGUARD,16,00:33,23:15,2D,KILLER'S BODYGUARD
22.09.2017,Corso 1,1,HV,20:15,20:32,21:13,21:13,22:13,22:21,2D,THE CIRCLE,12,00:43,23:15,2D,BABY DRIVER
22.09.2017,Corso 7,7,HV,20:30,20:48,21:33,21:33,22:43,22:48,2D,LOGAN LUCKY,12,00:31,23:30,2D,LOGAN LUCKY
22.09.2017,Corso 3,3,HV,20:30,20:48,21:50,21:50,23:03,23:09,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:25,23:45,2D,BARRY SEAL: ONLY IN AMERICA
