Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel
15.09.2017,Cinemaxx 3,3,N2,17:15,17:34,18:25,18:25,19:21,19:30,2D,BARRY SEAL: ONLY IN AMERICA,12,00:34,20:15,2D,BARRY SEAL: ONLY IN AMERICA
15.09.2017,Cinemaxx 7,7,N2,17:15,17:29,18:36,18:36,19:41,19:49,3D,"PLANET DER AFFEN: SURVIVAL ",12,00:30,20:30,2D,LOGAN LUCKY
15.09.2017,Cinemaxx 1,1,N2,17:15,17:28,18:10,18:10,19:10,19:18,2D,THE CIRCLE,12,00:46,20:15,2D,THE CIRCLE
15.09.2017,Cinemaxx 5,5,N2,17:30,17:47,18:38,18:38,19:38,19:45,2D,KILLER'S BODYGUARD,16,00:34,20:30,2D,KILLER'S BODYGUARD
15.09.2017,Cinemaxx 4,4,N2,17:30,17:44,18:30,18:30,19:40,19:46,2D,MOTHER!,16,00:48,20:45,2D,BABY DRIVER
15.09.2017,Cinemaxx 8,8,N2,17:45,18:00,18:49,18:49,19:28,19:33,2D,HEREINSPAZIERT!,6,01:01,20:45,2D,HEREINSPAZIERT!
15.09.2017,Cinemaxx 6,6,HV,20:00,20:19,21:11,21:11,22:02,22:09,2D,ANNABELLE 2,16,00:40,23:00,2D,ANNABELLE 2
15.09.2017,Cinemaxx 2,2,HV,20:00,20:15,20:58,20:58,21:48,21:56,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,00:53,23:00,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
15.09.2017,Cinemaxx 1,1,HV,20:15,20:30,21:12,21:12,22:12,22:20,2D,THE CIRCLE,12,00:44,23:15,2D,THE CIRCLE
15.09.2017,Cinemaxx 3,3,HV,20:15,20:36,21:27,21:27,22:22,22:32,2D,BARRY SEAL: ONLY IN AMERICA,12,00:32,23:15,2D,BARRY SEAL: ONLY IN AMERICA
