Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel
13.10.2017,Gotthard 7,7,N2,17:30,17:48,18:25,18:37,19:52,19:59,2D,KILLER'S BODYGUARD,16,00:20,20:30,2D,BARRY SEAL: ONLY IN AMERICA
13.10.2017,Gotthard 5,5,HV,19:30,19:44,20:46,20:58,22:29,22:40,3D,"BLADE RUNNER 2049 ",14,00:39,23:30,2D,ANNABELLE 2
13.10.2017,Gotthard 1,1,HV,20:00,20:18,21:00,21:12,22:03,22:10,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,00:24,22:45,3D,"BLADE RUNNER 2049 "
13.10.2017,Gotthard 6,6,HV,20:00,20:16,20:56,21:08,22:02,22:06,2D,FLITZER,12,00:43,23:00,2D,KINGSMAN: THE GOLDEN CIRCLE
13.10.2017,Gotthard 8,8,HV,20:15,20:34,21:24,21:36,23:01,23:07,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:27,23:45,2D,FLITZER
13.10.2017,Gotthard 2,2,HV,20:15,20:36,21:39,21:51,22:56,23:03,2D,ES,16,00:16,23:30,2D,ES
13.10.2017,Gotthard 7,7,HV,20:30,20:49,21:30,21:42,22:47,22:57,2D,BARRY SEAL: ONLY IN AMERICA,12,00:22,23:30,2D,BARRY SEAL: ONLY IN AMERICA
13.10.2017,Gotthard 4,4,HV,20:30,20:49,21:33,21:45,22:40,22:50,2D,BORG/MCENROE,6,00:14,23:15,2D,BORG/MCENROE
13.10.2017,Gotthard 3,3,HV,20:45,21:07,21:47,21:59,23:02,23:11,2D,AMERICAN ASSASSIN,16,00:23,23:45,2D,AMERICAN ASSASSIN
13.10.2017,Gotthard 1,1,SV,22:45,23:02,,,01:35,01:46,3D,"BLADE RUNNER 2049 ",14,,,,
