Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel
06.10.2017,Atelier 7,7,N2,17:15,17:22,18:24,18:24,19:55,20:06,2D,BLADE RUNNER 2049,14,00:43,21:00,2D,BARRY SEAL: ONLY IN AMERICA
06.10.2017,Atelier 6,6,N2,17:30,17:46,18:29,18:29,19:18,19:27,3D,"THE LEGO NINJAGO MOVIE ",6,00:37,20:15,2D,BLADE RUNNER 2049
06.10.2017,Atelier 4,4,N2,17:30,17:41,18:24,18:24,19:12,19:21,2D,MY LITTLE PONY - DER FILM,4,00:28,20:00,2D,KILLER'S BODYGUARD
06.10.2017,Atelier 5,5,N2,18:00,18:00,18:41,18:41,19:35,19:38,2D,VORPREMIERE FLITZER,12,00:41,20:30,2D,KINGSMAN: THE GOLDEN CIRCLE
06.10.2017,Atelier 4,4,HV,20:00,20:14,20:51,20:51,22:06,22:13,2D,KILLER'S BODYGUARD,16,00:36,23:00,2D,KINGSMAN: THE GOLDEN CIRCLE
06.10.2017,Atelier 2,2,HV,20:00,20:14,21:16,21:16,22:47,22:58,3D,"BLADE RUNNER 2049 ",14,00:36,23:45,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
06.10.2017,Atelier 6,6,HV,20:15,20:28,21:30,21:30,23:00,23:11,2D,BLADE RUNNER 2049,14,,,,
06.10.2017,Atelier 3,3,HV,20:15,20:35,21:39,21:39,22:44,22:50,2D,ES,16,00:29,23:30,2D,ES
06.10.2017,Atelier 5,5,HV,20:30,20:46,21:48,21:48,23:01,23:07,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:27,23:45,2D,KILLER'S BODYGUARD
06.10.2017,Atelier 1,1,HV,20:30,20:46,21:29,21:29,22:19,22:26,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,00:23,23:00,3D,"BLADE RUNNER 2049 "
06.10.2017,Atelier 8,8,HV,20:45,21:01,21:42,21:42,22:44,22:51,2D,ANNABELLE 2,16,00:43,23:45,2D,ANNABELLE 2
06.10.2017,Atelier 7,7,HV,21:00,21:19,22:00,22:00,23:05,23:14,2D,BARRY SEAL: ONLY IN AMERICA,12,00:20,23:45,2D,BARRY SEAL: ONLY IN AMERICA
06.10.2017,Atelier 1,1,SV,23:00,23:14,00:16,00:16,01:47,01:58,3D,"BLADE RUNNER 2049 ",14,,,,
06.10.2017,Atelier 4,4,SV,23:00,23:16,00:18,00:18,01:31,01:37,2D,KINGSMAN: THE GOLDEN CIRCLE,16,,,,
06.10.2017,Atelier 3,3,SV,23:30,23:50,00:54,00:54,01:59,02:05,2D,ES,16,,,,
06.10.2017,Atelier 8,8,SV,23:45,00:01,00:42,00:42,01:44,01:51,2D,ANNABELLE 2,16,,,,
06.10.2017,Atelier 2,2,SV,23:45,00:01,00:44,00:44,01:34,01:42,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,,,,
06.10.2017,Atelier 5,5,SV,23:45,23:59,00:36,00:36,01:51,01:58,2D,KILLER'S BODYGUARD,16,,,,
06.10.2017,Atelier 7,7,SV,23:45,00:04,00:45,00:45,01:50,01:59,2D,BARRY SEAL: ONLY IN AMERICA,12,,,,

07.10.2017,Atelier 2,2,M1,13:30,13:41,14:43,14:55,16:26,16:37,3D,"BLADE RUNNER 2049 ",14,00:27,17:15,3D,"CARS 3 - EVOLUTION "
07.10.2017,Atelier 3,3,M1,13:45,14:02,15:06,15:18,16:23,16:30,2D,ES,16,00:19,17:00,2D,ES
07.10.2017,Atelier 6,6,M1,13:45,13:54,14:56,15:08,16:39,16:50,2D,BLADE RUNNER 2049,14,00:29,17:30,3D,"THE LEGO NINJAGO MOVIE "
